#NOTES: 
#All Castle doors and gates are found in the castledoor.sql
#All thrones and signs are found in the staticobject.csv
#To make a door unlockable through the unlock skill, add true to the end of the string
#Table Description:
#name;static_object_id;posx;posy;posz;hp;physical_defence;magic_defence;unlockable

# Aden - Clan Halls
ent_ruler;25150001;179512;-88979;-7067;158250;644;518
vs_hall_2;25150002;181248;-88979;-7066;158250;644;518
ct_ahll_2;25150003;183053;-88979;-7071;158250;644;518
mr_hall_2;25150004;184884;-88968;-7054;158250;644;518
dk_hall_2;25150005;186685;-88965;-7072;158250;644;518
em_grav_2;25150006;188472;-88968;-7070;158250;644;518

# Great Sage Mos
ent_grtsage;25150031;173218;-86614;-7073;158250;644;518
vs_hall_3;25150032;173218;-84780;-7069;158250;644;518
ct_ahll_3;25150033;173210;-82974;-7069;158250;644;518
mr_hall_3;25150034;173212;-81165;-7067;158250;644;518
dk_hall_3;25150035;173215;-79393;-7062;158250;644;518
em_grav_3;25150036;173196;-77563;-7065;158250;644;518

#Judge Mos
ent_judge;25150021;175610;-82701;-7061;158250;644;518
vs_hall_4;25150022;175610;-80956;-7070;158250;644;518
ct_ahll_4;25150023;175601;-79162;-7069;158250;644;518
mr_hall_4;25150024;175602;-77330;-7074;158250;644;518
dk_hall_4;25150025;175597;-75538;-7069;158250;644;518
em_grav_4;25150026;175588;-73721;-7067;158250;644;518

# Goddard - Clan Halls
goddard_clanhall_001;24160001;146438;-55458;-2792;158250;644;518
goddard_clanhall_002;24160002;146449;-55547;-2792;158250;644;518
goddard_clanhall_003;24160003;147071;-56472;-2792;158250;644;518
goddard_clanhall_004;24160004;147151;-56514;-2792;158250;644;518
goddard_clanhall_005;24160005;148262;-56520;-2792;158250;644;518
goddard_clanhall_006;24160006;148342;-56478;-2792;158250;644;518
goddard_clanhall_007;24160007;148971;-55557;-2792;158250;644;518
goddard_clanhall_008;24160008;148982;-55468;-2792;158250;644;518

# Forges of the God
godad_DCDoor_001;24210004;190917;-115528;-1519;158250;644;518
godad_DCDoor1F_002a;24210005;189479;-108511;-952;158250;644;518
godad_DCDoor2F_003a;24210006;191458;-108107;-955;158250;644;518

#Border Outpost
borderoutpost_Door_001a;23170001;114044;-17952;-1748;158250;644;518
borderoutpost_Door_002;24170001;157981;-25122;-1195;158250;644;518

# Giran - Clan Halls
giran_clanhall_001;22220012;83618;145281;-3360;158250;644;518
giran_clanhall_002;22220011;83618;145382;-3360;158250;644;518
giran_clanhall_003;22220009;81831;145368;-3489;158250;644;518
giran_clanhall_004;22220010;81831;145267;-3489;158250;644;518
giran_clanhall_005;22220008;78521;148327;-3553;158250;644;518
giran_clanhall_006;22220007;78622;148327;-3553;158250;644;518
giran_clanhall_007;22220005;81196;151657;-3490;158250;644;518
giran_clanhall_008;22220006;81196;151556;-3490;158250;644;518
giran_clanhall_009;22220003;81873;151943;-3488;126600;644;518
giran_clanhall_010;22220004;81873;151842;-3488;126600;644;518

#Godad Elmore
godad_ElmoreDoor_001;24140007;140702;-123836;-1931;158250;644;518
godad_ElmoreDoor_002;24140008;140721;-123934;-1931;158250;644;518
godad_ElmoreDoor_003;24140003;141148;-124309;-1894;158250;644;518
godad_ElmoreDoor_004;24140005;141280;-124737;-1894;158250;644;518
godad_ElmoreDoor_005;24140006;141230;-124812;-1894;158250;644;518
godad_ElmoreDoor_006;24140004;141223;-124359;-1894;158250;644;518
godad_ElmoreDoor_007;24140001;140727;-124476;-1894;158250;644;518
godad_ElmoreDoor_008;24140002;140777;-124401;-1894;158250;644;518

#Schuttgart clan hall doors
schuttgart_clan_hall_1;22130017;86119;-143216;-1325;158250;644;518
schuttgart_clan_hall_2;22130018;86124;-143169;-1325;158250;644;518
schuttgart_clan_hall_3;22130020;86755;-142227;-1325;158250;644;518
schuttgart_clan_hall_4;22130019;86797;-142207;-1325;158250;644;518
schuttgart_clan_hall_5;22130022;87970;-142235;-1325;158250;644;518
schuttgart_clan_hall_6;22130021;87934;-142214;-1325;158250;644;518
schuttgart_clan_hall_7;22130024;88611;-143182;-1325;158250;644;518
schuttgart_clan_hall_8;22130023;88618;-143224;-1325;158250;644;518

#Rune clan hall doors
rune_clan_hall_1;21160002;37701;-50416;899;158250;644;518
rune_clan_hall_2;21160001;37748;-50417;899;158250;644;518
rune_clan_hall_3;21160004;38538;-50126;898;158250;644;518
rune_clan_hall_4;21160003;38580;-50107;899;158250;644;518
rune_clan_hall_5;21160006;39116;-49513;899;158250;644;518
rune_clan_hall_6;21160005;39141;-49474;899;158250;644;518
rune_clan_hall_7;21160008;39326;-48267;895;158250;644;518
rune_clan_hall_8;21160007;39328;-48225;897;158250;644;518
rune_clan_hall_9;21160010;39148;-47009;899;158250;644;518
rune_clan_hall_10;21160009;39130;-46972;899;158250;644;518
rune_clan_hall_11;21160012;38600;-46378;899;158250;644;518
rune_clan_hall_12;21160011;38559;-46356;899;158250;644;518
rune_clan_hall_13;21160014;37766;-46060;899;158250;644;518
rune_clan_hall_14;21160013;37718;-46058;899;158250;644;518

# Unknown - skeleton's contrib 
H_Door_MV_219;570622981;17616;145184;-3025;158250;644;518
H_Door_MV_220;570622981;18872;143278;-2998;158250;644;518
H_Door_MV_221;570622981;18879;143353;-2998;158250;644;518
H_Door_MV_222;570622981;20118;145994;-3099;158250;644;518


Chapel_Door001;19160010;-16148;-44158;-10725;899;158250;644;518
Chapel_Door002;19160011;-16582;-44156;-10725;899;158250;644;518
Temple_Gate;19160001;-16369;-36806;-10725;899;158250;644;518
Anteroom_Door001;19160006;-17855;-42547;-10725;899;158250;644;518
Anteroom_Door002;19160005;-14867;-42518;-10725;899;158250;644;518
Anteroom_Door003;19160002;-14868;-38977;-10725;899;158250;644;518
Anteroom_Door004;19160009;-17872;-38967;-10725;899;158250;644;518
Anteroom_Door005;19160008;-18140;-39825;-10725;899;158250;644;518
Anteroom_Door006;19160007;-18140;-41692;-10725;899;158250;644;518
Anteroom_Door007;19160003;-14595;-39831;-10725;899;158250;644;518
Anteroom_Door008;19160004;-14618;-41675;-10725;899;158250;644;518
Altar_Entrance001;19160014;-14829;-54967;-10603;899;158250;644;518
Altar_Entrance002;19160015;-17959;-54973;-10603;899;158250;644;518
Door_of_Darkness001;19160012;-14513;-52490;-11013;899;158250;644;518
Door_of_Darkness002;19160013;-18278;-52474;-11013;899;158250;644;518
Altar_Entrance001;19160017;-17420;-54835;-10449;899;158250;644;518
Altar_Entrance002;19160016;-15362;-54835;-10449;899;158250;644;518
#========================================
Wild_beast_reserve_Door001;21150002;59922;-94221;-1350;899;158250;644;518
Wild_beast_reserve_Door002;21150001;59974;-94123;-1350;899;158250;644;518
Wild_beast_reserve_Gate001;21150003;55320;-93265;-1360;899;158250;644;518
Wild_beast_reserve_Gate002;21150004;55260;-93052;-1360;899;158250;644;518
Wild_beast_reserve_Fence001;21150005;58474;-93976;-1360;899;158250;644;518
Wild_beast_reserve_Fence002;21150006;56858;-93648;-1364;899;158250;644;518
Wild_beast_reserve_Fence003;21150007;56634;-91988;-1360;899;158250;644;518
Wild_beast_reserve_Fence004;21150008;58167;-91263;-1360;899;158250;644;518
Wild_beast_reserve_Fence005;21150009;59303;-92530;-1360;899;158250;644;518
#===================================
Fortress_of_the_Dead_Outer_Gate001;21170002;58053;-29474;568;899;158250;644;518
Fortress_of_the_Dead_Outer_Gate002;21170001;57862;-19464;568;899;158250;644;518
Fortress_of_the_Dead_Door001;21170003;56991;-27197;578;899;158250;644;518
Fortress_of_the_Dead_Door002;21170004;56991;-27307;578;899;158250;644;518
Fortress_of_the_Dead_Door003;21170006;57910;-26384;592;899;158250;644;518
Fortress_of_the_Dead_Door004;21170005;58016;-26390;592;899;158250;644;518
#================================================
Ice_Wall001;23140001;115272;-125752;-3458;899;158250;644;518
Ice_Wall002;23140002;113934;-126025;-3457;899;158250;644;518
Secret_Door001;23150001;110714;-81562;-1589;899;158250;644;518
Secret_Door002;23150002;114877;-71466;-549;899;158250;644;518
Gate_of_Splendor001;23150003;112690;-78084;59;899;158250;644;518
Gate_of_Splendor002;23150004;112910;-78084;59;899;158250;644;518
Mausoleum_Gate001;25150045;174070;-83383;-5108;899;158250;644;518
Gate_of_Errors001;25150051;173065;-76042;-5108;899;158250;644;518
#Gate_of_Errors1;25150059
Mausoleum_Gate001;25150043;174064;-80218;-5108;899;158250;644;518
Mausoleum_Gate002;25150042;174072;-77640;-5108;899;158250;644;518
Gate_of_Errors002;25150052;173438;-76678;-5108;899;158250;644;518
Gate_of_Errors003;25150053;174085;-76961;-5108;899;158250;644;518
Gate_of_Errors004;25150054;174763;-76694;-5108;899;158250;644;518
Gate_of_Errors005;25150055;175030;-76039;-5108;899;158250;644;518
Gate_of_Errors006;25150056;174776;-75372;-5108;899;158250;644;518
Gate_of_Errors007;25150057;174111;-75101;-5108;899;158250;644;518
Gate_of_Errors008;25150058;173451;-75355;-5108;899;158250;644;518
#Gate_of_Errors0;25150060
Mausoleum_Gate003;25150046;174246;-86036;-5108;899;158250;644;518
Gate_of_Errors;25150066;173679;-80553;-5108;899;158250;644;518
Gate_of_Errors;25150067;173576;-81065;-5108;899;158250;644;518
Gate_of_Errors;25150068;173406;-81771;-5108;899;158250;644;518
Gate_of_Errors;25150069;173530;-82434;-5108;899;158250;644;518
Gate_of_Errors;25150070;173668;-83011;-5108;899;158250;644;518
Gate_of_Errors;25150061;174463;-83048;-5108;899;158250;644;518
Gate_of_Errors;25150062;174591;-82474;-5108;899;158250;644;518
Gate_of_Errors;25150063;174735;-81819;-5108;899;158250;644;518
Gate_of_Errors;25150064;174613;-81138;-5108;899;158250;644;518
Gate_of_Errors;25150065;174464;-80564;-5108;899;158250;644;518
